iter	Passed	Remaining
0	0	34
1	0	29
2	0	27
3	1	24
4	1	24
5	1	23
6	1	23
7	2	23
8	2	23
9	2	23
10	2	23
11	3	22
12	3	22
13	3	21
14	3	21
15	4	21
16	4	20
17	4	20
18	4	20
19	4	19
20	5	19
21	5	19
22	5	18
23	5	18
24	6	18
25	6	17
26	6	17
27	6	17
28	6	16
29	7	16
30	7	16
31	7	16
32	7	15
33	8	15
34	8	15
35	8	15
36	8	14
37	8	14
38	9	14
39	9	14
40	9	13
41	9	13
42	9	13
43	10	12
44	10	12
45	10	12
46	10	12
47	11	11
48	11	11
49	11	11
50	11	11
51	11	10
52	12	10
53	12	10
54	12	10
55	12	10
56	13	9
57	13	9
58	13	9
59	13	9
60	14	8
61	14	8
62	14	8
63	14	8
64	15	8
65	15	7
66	15	7
67	15	7
68	16	7
69	16	7
70	16	6
71	17	6
72	17	6
73	17	6
74	17	5
75	18	5
76	18	5
77	18	5
78	18	5
79	19	4
80	19	4
81	19	4
82	20	4
83	20	3
84	20	3
85	20	3
86	21	3
87	22	3
88	22	2
89	22	2
90	22	2
91	23	2
92	23	1
93	23	1
94	23	1
95	24	1
96	24	0
97	24	0
98	25	0
99	25	0
