iter	Passed	Remaining
0	56	56495
1	56	28400
2	57	19028
3	57	14358
4	58	11548
5	58	9670
6	58	8325
7	59	7316
8	59	6532
9	59	5901
10	59	5388
11	60	4959
12	60	4596
13	60	4285
14	61	4016
15	61	3778
16	61	3567
17	61	3381
18	62	3218
19	62	3071
20	63	2938
21	63	2816
22	63	2707
23	64	2604
24	64	2511
25	64	2422
26	64	2341
27	65	2267
28	65	2196
29	65	2130
30	66	2068
31	66	2009
32	66	1956
33	67	1906
34	67	1856
35	67	1810
36	67	1768
37	68	1727
38	68	1691
39	68	1654
40	69	1619
41	69	1586
42	69	1556
43	70	1525
44	70	1496
45	70	1469
46	71	1446
47	72	1435
48	72	1411
49	72	1386
50	73	1363
51	73	1341
52	73	1320
53	74	1299
54	74	1279
55	74	1260
56	75	1242
57	75	1224
58	75	1207
59	76	1190
60	76	1175
61	76	1158
62	76	1143
63	77	1128
64	77	1114
65	77	1100
66	78	1086
67	78	1072
68	78	1059
69	78	1047
70	79	1044
71	80	1032
72	80	1022
73	80	1010
74	81	999
75	81	988
76	81	978
77	81	968
78	82	958
79	82	948
80	82	938
81	83	930
82	83	920
83	83	911
84	83	902
85	84	894
86	84	886
87	84	878
88	85	870
89	85	862
90	85	855
91	85	848
92	86	843
93	86	837
94	87	831
95	87	824
96	87	817
97	88	811
98	88	804
99	88	797
100	88	791
101	89	785
102	89	779
103	89	773
104	90	767
105	90	762
106	90	757
107	91	752
108	91	748
109	91	743
110	92	739
111	92	733
112	92	728
113	93	722
114	93	718
115	93	714
116	93	708
117	94	703
118	94	698
119	94	694
120	94	689
121	95	684
122	95	679
123	95	675
124	95	671
125	96	667
126	96	662
127	96	658
128	97	655
129	97	651
130	97	647
131	97	643
132	98	639
133	98	636
134	98	632
135	98	628
136	99	625
137	99	621
138	99	618
139	100	615
140	100	611
141	100	607
142	100	604
143	101	601
144	101	599
145	101	596
146	102	593
147	102	590
148	102	587
149	103	584
150	103	581
151	103	578
152	103	575
153	104	572
154	104	569
155	104	566
156	104	563
157	105	560
158	105	558
159	105	555
160	105	552
161	106	549
162	106	546
163	106	543
164	106	541
165	107	538
166	107	536
167	107	534
168	108	531
169	108	528
170	108	526
171	108	523
172	109	521
173	109	519
174	109	517
175	109	514
176	110	512
177	110	510
178	110	507
179	110	505
180	111	503
181	111	501
182	111	499
183	112	497
184	112	495
185	112	493
186	112	490
187	113	488
188	113	486
189	113	484
190	113	482
191	114	480
192	114	479
193	114	477
194	115	475
195	115	473
196	115	471
197	115	469
198	116	467
199	116	466
200	116	464
201	116	462
202	117	460
203	117	458
204	117	456
205	117	454
206	118	453
207	118	451
208	118	449
209	119	448
210	119	447
211	119	445
212	120	443
213	120	442
214	120	440
215	120	438
216	121	437
217	121	435
218	121	434
219	122	432
220	122	431
221	122	429
222	123	428
223	123	427
224	123	425
225	123	424
226	124	423
227	124	421
228	125	420
229	125	420
230	125	419
231	126	420
232	127	421
233	128	419
234	128	418
235	128	416
236	129	415
237	129	414
238	129	412
239	129	411
240	130	410
241	130	408
242	130	407
243	130	405
244	131	404
245	131	402
246	131	401
247	132	400
248	132	399
249	132	398
250	132	396
251	133	395
252	133	394
253	133	393
254	134	391
255	134	390
256	134	389
257	135	388
258	135	387
259	135	385
260	135	384
261	136	383
262	136	382
263	136	381
264	137	380
265	137	379
266	137	378
267	138	378
268	138	377
269	139	376
270	139	375
271	139	373
272	139	372
273	140	371
274	140	370
275	140	369
276	141	368
277	141	367
278	141	366
279	141	364
280	142	363
281	142	362
282	142	361
283	143	360
284	143	359
285	143	358
286	143	357
287	144	356
288	144	355
289	144	354
290	144	352
291	145	351
292	145	350
293	145	349
294	145	348
295	146	347
296	146	346
297	146	345
298	146	344
299	147	343
300	147	342
301	147	341
302	148	340
303	148	339
304	148	338
305	149	338
306	149	337
307	149	335
308	149	334
309	150	333
310	150	332
311	150	331
312	150	330
313	151	330
314	151	329
315	151	328
316	151	327
317	152	326
318	152	325
319	152	324
320	152	323
321	153	322
322	153	321
323	153	320
324	154	319
325	154	319
326	154	318
327	154	317
328	155	316
329	155	315
330	155	314
331	155	313
332	156	312
333	156	312
334	156	311
335	157	310
336	157	309
337	157	308
338	157	307
339	158	306
340	158	306
